movie_id,tmdbId,cast,director
1,862,"[('Woody (voice)', 'Tom Hanks'), ('Buzz Lightyear (voice)', 'Tim Allen'), ('Mr. Potato Head (voice)', 'Don Rickles')]",John Lasseter
2,8844,"[('Alan Parrish', 'Robin Williams'), ('Samuel Alan Parrish / Van Pelt', 'Jonathan Hyde'), ('Judy Sheperd', 'Kirsten Dunst')]",Joe Johnston
3,15602,"[('Max Goldman', 'Walter Matthau'), ('John Gustafson', 'Jack Lemmon'), ('Ariel Gustafson', 'Ann-Margret')]",Howard Deutch
4,31357,"[(""Savannah 'Vannah' Jackson"", 'Whitney Houston'), (""Bernadine 'Bernie' Harris"", 'Angela Bassett'), (""Gloria 'Glo' Matthews"", 'Loretta Devine')]",Forest Whitaker
5,11862,"[('George Banks', 'Steve Martin'), ('Nina Banks', 'Diane Keaton'), ('Franck Eggelhoffer', 'Martin Short')]",Charles Shyer
6,949,"[('Lt. Vincent Hanna', 'Al Pacino'), ('Neil McCauley', 'Robert De Niro'), ('Chris Shiherlis', 'Val Kilmer')]",Michael Mann
7,11860,"[('Linus Larrabee', 'Harrison Ford'), ('Sabrina Fairchild', 'Julia Ormond'), ('David Larrabee', 'Greg Kinnear')]",Sydney Pollack
8,45325,"[('Tom Sawyer', 'Jonathan Taylor Thomas'), ('Huck Finn', 'Brad Renfro'), ('Becky Thatcher', 'Rachael Leigh Cook')]",Peter Hewitt
9,9091,"[('Darren Francis Thomas McCord', 'Jean-Claude Van Damme'), ('Joshua Foss', 'Powers Boothe'), ('Matthew Hallmark', 'Dorian Harewood')]",Peter Hyams
10,710,"[('James Bond', 'Pierce Brosnan'), ('Alec Trevelyan', 'Sean Bean'), ('Natalya Fyodorovna Simonova', 'Izabella Scorupco')]",Martin Campbell
11,9087,"[('Andrew Shepherd', 'Michael Douglas'), ('Sydney Ellen Wade', 'Annette Bening'), ('Lewis Rothschild', 'Michael J. Fox')]",Rob Reiner
12,12110,"[('Count Dracula', 'Leslie Nielsen'), ('Prof. Abraham Van Helsing', 'Mel Brooks'), ('Mina Seward', 'Amy Yasbeck')]",Mel Brooks
13,21032,"[('Balto (voice)', 'Kevin Bacon'), ('Boris the Goose (voice)', 'Bob Hoskins'), ('Jenna (voice)', 'Bridget Fonda')]",Simon Wells
14,10858,"[('Richard Nixon', 'Anthony Hopkins'), ('Pat Nixon', 'Joan Allen'), ('Alexander Haig', 'Powers Boothe')]",Oliver Stone
15,1408,"[('Morgan Adams', 'Geena Davis'), ('William Shaw', 'Matthew Modine'), ('Dawg', 'Frank Langella')]",Renny Harlin
16,524,"[(""Sam 'Ace' Rothstein"", 'Robert De Niro'), ('Ginger McKenna', 'Sharon Stone'), ('Nicky Santoro', 'Joe Pesci')]",Martin Scorsese
17,4584,"[('Marianne Dashwood', 'Kate Winslet'), ('Elinor Dashwood', 'Emma Thompson'), ('Edward Ferrars', 'Hugh Grant')]",Ang Lee
18,5,"[('Ted the Bellhop', 'Tim Roth'), ('Man', 'Antonio Banderas'), ('Angela', 'Jennifer Beals')]",Allison Anders
19,9273,"[('Ace Ventura', 'Jim Carrey'), ('Fulton Greenwall', 'Ian McNeice'), ('Vincent Cadby', 'Simon Callow')]",Steve Oedekerk
20,11517,"[('John', 'Wesley Snipes'), ('Charlie', 'Woody Harrelson'), ('Grace Santiago', 'Jennifer Lopez')]",Joseph Ruben
21,8012,"[('Chili Palmer', 'John Travolta'), ('Harry Zimm', 'Gene Hackman'), ('Karen Flores', 'Rene Russo')]",Barry Sonnenfeld
22,1710,"[('Helen Hudson', 'Sigourney Weaver'), ('M.J. Monahan', 'Holly Hunter'), ('Nico Letti', 'Will Patton')]",Jon Amiel
23,9691,"[('Robert Rath', 'Sylvester Stallone'), ('Miguel Bain', 'Antonio Banderas'), ('Electra', 'Julianne Moore')]",Richard Donner
24,12665,"[('Jessie Caldwell', 'Mary Steenburgen'), (""Jeremy 'Powder' Reed"", 'Sean Patrick Flanery'), ('Sheriff Doug Barnum', 'Lance Henriksen')]",Victor Salva
25,451,"[('Ben Sanderson', 'Nicolas Cage'), ('Sera', 'Elisabeth Shue'), ('Yuri', 'Julian Sands')]",Mike Figgis
26,16420,"[('Othello', 'Laurence Fishburne'), ('Desdemona', 'Irène Jacob'), ('Iago', 'Kenneth Branagh')]",Oliver Parker
27,9263,"[('Young Roberta Martin', 'Christina Ricci'), ('Dr. Roberta Martin', ""Rosie O'Donnell""), ('Teeny', 'Thora Birch')]",Lesli Linka Glatter
28,17015,"[('Anne Elliott', 'Amanda Root'), ('Captain Frederick Wentworth', 'Ciarán Hinds'), ('Lady Russell', 'Susan Fleetwood')]",Roger Michell
29,902,"[('One', 'Ron Perlman'), ('Scaphandrier / Les Clones', 'Dominique Pinon'), ('Miette', 'Judith Vittet')]",Jean-Pierre Jeunet
30,37557,"[('Xiao Jingbao', 'Gong Li'), ('Tang, the Gang Boss', 'Li Bao-Tian'), ('Shuisheng, the boy', 'Wang Xiaoxiao')]",Zhang Yimou
31,9909,"[('Louanne Johnson', 'Michelle Pfeiffer'), ('Hal Griffith', 'George Dzundza'), ('George Grandey', 'Courtney B. Vance')]",John N. Smith
32,63,"[('James Cole', 'Bruce Willis'), ('Dr. Kathryn Railly', 'Madeleine Stowe'), ('Jeffrey Goines', 'Brad Pitt')]",Terry Gilliam
33,78802,"[('Henri Guillaumet', 'Craig Sheffer'), ('Noëlle Guillaumet', 'Elizabeth McGovern'), ('Antoine de Saint-Exupery', 'Tom Hulce')]",Jean-Jacques Annaud
34,9598,"[('Babe the Gallant Pig (voice)', 'Christine Cavanaugh'), ('Fly the Female Sheepdog (voice)', 'Miriam Margolyes'), ('Ferdinand the Duck (voice)', 'Danny Mann')]",Chris Noonan
35,47018,"[('Dora Carrington', 'Emma Thompson'), ('Lytton Strachey', 'Jonathan Pryce'), ('Ralph Partridge', 'Steven Waddington')]",Christopher Hampton
36,687,"[('Sister Helen Prejean', 'Susan Sarandon'), ('Matthew Poncelet', 'Sean Penn'), ('Hilton Barber', 'Robert Prosky')]",Tim Robbins
