movie_id,title,director,actors,synopsis,genres,poster,year
1,Toy Story,John Lasseter,"[('Woody (voice)', 'Tom Hanks'), ('Buzz Lightyear (voice)', 'Tim Allen'), ('Mr. Potato Head (voice)', 'Don Rickles')]","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['Animation', ""Children's"", 'Comedy']",/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,1995
2,Jumanji,Joe Johnston,"[('Alan Parrish', 'Robin Williams'), ('Samuel Alan Parrish / Van Pelt', 'Jonathan Hyde'), ('Judy Sheperd', 'Kirsten Dunst')]","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","['Adventure', ""Children's"", 'Fantasy']",/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,1995
3,Grumpier Old Men,Howard Deutch,"[('Max Goldman', 'Walter Matthau'), ('John Gustafson', 'Jack Lemmon'), ('Ariel Gustafson', 'Ann-Margret')]","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","['Comedy', 'Romance']",/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,1995
4,Waiting to Exhale,Forest Whitaker,"[(""Savannah 'Vannah' Jackson"", 'Whitney Houston'), (""Bernadine 'Bernie' Harris"", 'Angela Bassett'), (""Gloria 'Glo' Matthews"", 'Loretta Devine')]","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","['Comedy', 'Drama']",/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,1995
5,Father of the Bride Part II,Charles Shyer,"[('George Banks', 'Steve Martin'), ('Nina Banks', 'Diane Keaton'), ('Franck Eggelhoffer', 'Martin Short')]","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",['Comedy'],/e64sOI48hQXyru7naBFyssKFxVd.jpg,1995
6,Heat,Michael Mann,"[('Lt. Vincent Hanna', 'Al Pacino'), ('Neil McCauley', 'Robert De Niro'), ('Chris Shiherlis', 'Val Kilmer')]","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","['Action', 'Crime', 'Thriller']",/zMyfPUelumio3tiDKPffaUpsQTD.jpg,1995
7,Sabrina,Sydney Pollack,"[('Linus Larrabee', 'Harrison Ford'), ('Sabrina Fairchild', 'Julia Ormond'), ('David Larrabee', 'Greg Kinnear')]","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","['Comedy', 'Romance']",/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,1995
8,Tom and Huck,Peter Hewitt,"[('Tom Sawyer', 'Jonathan Taylor Thomas'), ('Huck Finn', 'Brad Renfro'), ('Becky Thatcher', 'Rachael Leigh Cook')]","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","['Adventure', ""Children's""]",/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,1995
9,Sudden Death,Peter Hyams,"[('Darren Francis Thomas McCord', 'Jean-Claude Van Damme'), ('Joshua Foss', 'Powers Boothe'), ('Matthew Hallmark', 'Dorian Harewood')]","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",['Action'],/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,1995
10,GoldenEye,Martin Campbell,"[('James Bond', 'Pierce Brosnan'), ('Alec Trevelyan', 'Sean Bean'), ('Natalya Fyodorovna Simonova', 'Izabella Scorupco')]",James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"['Action', 'Adventure', 'Thriller']",/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,1995
11,"American President, The",Rob Reiner,"[('Andrew Shepherd', 'Michael Douglas'), ('Sydney Ellen Wade', 'Annette Bening'), ('Lewis Rothschild', 'Michael J. Fox')]","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['Comedy', 'Drama', 'Romance']",/lymPNGLZgPHuqM29rKMGV46ANij.jpg,1995
12,Dracula: Dead and Loving It,Mel Brooks,"[('Count Dracula', 'Leslie Nielsen'), ('Prof. Abraham Van Helsing', 'Mel Brooks'), ('Mina Seward', 'Amy Yasbeck')]","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","['Comedy', 'Horror']",/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,1995
13,Balto,Simon Wells,"[('Balto (voice)', 'Kevin Bacon'), ('Boris the Goose (voice)', 'Bob Hoskins'), ('Jenna (voice)', 'Bridget Fonda')]","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","['Animation', ""Children's""]",/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,1995
14,Nixon,Oliver Stone,"[('Richard Nixon', 'Anthony Hopkins'), ('Pat Nixon', 'Joan Allen'), ('Alexander Haig', 'Powers Boothe')]","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",['Drama'],/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995
15,Cutthroat Island,Renny Harlin,"[('Morgan Adams', 'Geena Davis'), ('William Shaw', 'Matthew Modine'), ('Dawg', 'Frank Langella')]","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['Action', 'Adventure', 'Romance']",/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995
16,Casino,Martin Scorsese,"[(""Sam 'Ace' Rothstein"", 'Robert De Niro'), ('Ginger McKenna', 'Sharon Stone'), ('Nicky Santoro', 'Joe Pesci')]",The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"['Drama', 'Thriller']",/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995
